         24480015 function calls (24477670 primitive calls) in 22.637 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    145/1    0.001    0.000   22.637   22.637 {built-in method builtins.exec}
        1    0.000    0.000   22.637   22.637 timings.py:3(<module>)
        1    0.005    0.005   22.502   22.502 polarization.py:404(run_simulation)
      400    0.002    0.000   13.169    0.033 polarization.py:230(pol_ER_discretized)
      400   12.304    0.031   13.117    0.033 polarization.py:204(pol_ER)
      399    0.001    0.000    9.328    0.023 polarization.py:352(update_all)
      399    0.019    0.000    9.328    0.023 polarization.py:355(<listcomp>)
    39900    0.045    0.000    9.308    0.000 polarization.py:357(update_agent_vs_all)
    39900    0.688    0.000    9.261    0.000 {built-in method builtins.sum}
  4029900    1.533    0.000    8.573    0.000 polarization.py:362(<genexpr>)
  3990000    7.031    0.000    7.040    0.000 polarization.py:365(update_agent_pair)
 16160472    0.813    0.000    0.813    0.000 {built-in method builtins.abs}
    169/1    0.001    0.000    0.135    0.135 <frozen importlib._bootstrap>:978(_find_and_load)
    169/1    0.000    0.000    0.135    0.135 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
    160/1    0.001    0.000    0.135    0.135 <frozen importlib._bootstrap>:663(_load_unlocked)
    134/1    0.000    0.000    0.135    0.135 <frozen importlib._bootstrap_external>:722(exec_module)
    231/1    0.000    0.000    0.134    0.134 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
        1    0.000    0.000    0.134    0.134 polarization.py:13(<module>)
        1    0.000    0.000    0.133    0.133 __init__.py:106(<module>)
   322/12    0.000    0.000    0.107    0.009 {built-in method builtins.__import__}
   850/78    0.001    0.000    0.107    0.001 <frozen importlib._bootstrap>:1009(_handle_fromlist)
        6    0.000    0.000    0.085    0.014 __init__.py:1(<module>)
      134    0.001    0.000    0.053    0.000 <frozen importlib._bootstrap_external>:793(get_code)
      400    0.023    0.000    0.050    0.000 polarization.py:175(belief_2_dist)
      134    0.029    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:914(get_data)
      166    0.001    0.000    0.032    0.000 <frozen importlib._bootstrap>:882(_find_spec)
      153    0.000    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
      153    0.001    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
      322    0.002    0.000    0.028    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
      654    0.000    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
      654    0.025    0.000    0.025    0.000 {built-in method nt.stat}
        1    0.000    0.000    0.022    0.022 __init__.py:7(<module>)
  160/158    0.000    0.000    0.022    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
       13    0.000    0.000    0.019    0.001 <frozen importlib._bootstrap_external>:1040(create_module)
       13    0.016    0.001    0.018    0.001 {built-in method _imp.create_dynamic}
        2    0.000    0.000    0.017    0.008 __init__.py:45(<module>)
        1    0.000    0.000    0.014    0.014 npyio.py:1(<module>)
        1    0.000    0.000    0.012    0.012 _datasource.py:35(<module>)
      134    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
      134    0.012    0.000    0.012    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.011    0.011 shutil.py:5(<module>)
        1    0.000    0.000    0.010    0.010 index_tricks.py:1(<module>)
        1    0.000    0.000    0.010    0.010 multiarray.py:7(<module>)
      507    0.009    0.000    0.009    0.000 {built-in method numpy.array}
        1    0.000    0.000    0.009    0.009 overrides.py:1(<module>)
        1    0.000    0.000    0.008    0.008 numeric.py:1(<module>)
      400    0.008    0.000    0.008    0.000 polarization.py:181(<listcomp>)
    40000    0.008    0.000    0.008    0.000 {built-in method math.floor}
        1    0.000    0.000    0.007    0.007 bz2.py:5(<module>)
        1    0.000    0.000    0.007    0.007 _distributor_init.py:10(<module>)
        1    0.000    0.000    0.007    0.007 __init__.py:3(<module>)
        1    0.000    0.000    0.007    0.007 utils.py:4(<module>)
      198    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
      181    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
        1    0.000    0.000    0.006    0.006 defmatrix.py:1(<module>)
        1    0.000    0.000    0.006    0.006 _distributor_init.py:17(__enter__)
        1    0.000    0.000    0.005    0.005 tempfile.py:24(<module>)
        1    0.000    0.000    0.005    0.005 __init__.py:15(<module>)
  323/320    0.003    0.000    0.005    0.000 {built-in method builtins.__build_class__}
82237/82160    0.005    0.000    0.005    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.005    0.005 case.py:1(<module>)
    19608    0.005    0.000    0.005    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.005    0.005 __init__.py:10(<module>)
        1    0.000    0.000    0.005    0.005 random.py:38(<module>)
      134    0.005    0.000    0.005    0.000 {method 'read' of '_io.FileIO' objects}
      134    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
        1    0.000    0.000    0.004    0.004 __init__.py:41(<module>)
        1    0.000    0.000    0.004    0.004 threading.py:1(<module>)
      130    0.000    0.000    0.004    0.000 re.py:271(_compile)
    19766    0.004    0.000    0.004    0.000 {built-in method builtins.min}
       19    0.000    0.000    0.004    0.000 sre_compile.py:759(compile)
        1    0.000    0.000    0.004    0.004 main.py:1(<module>)
        1    0.000    0.000    0.003    0.003 py3k.py:4(<module>)
       20    0.000    0.000    0.003    0.000 re.py:232(compile)
        1    0.000    0.000    0.003    0.003 traceback.py:1(<module>)
